time,voltage,pressed
0.1553548,5,0
0.6570059,5,0
0.8302452,4.99511241446725,0
1.0172132,5,0
1.2376561,5,0
1.4111146,5,0
1.585634,5,0
1.7571256,5,0
1.9299766,5,0
2.1012616,5,0
2.2727918,5,0
2.4443279,5,0
2.6157506,5,0
2.7884397,5,0
2.9620627,4.99511241446725,0
3.1326069,5,0
3.3041205,5,0
3.4766459,5,0
3.6489902,5,0
3.8226193,5,0
3.9963117,5,0
4.1717478,5,0
4.3443535,5,0
4.51676,5,0
4.6871621,5,0
4.8609042,5,0
5.0334512,5,0
5.2065219,5,0
5.3804649,5,0
5.5540032,5,0
5.7226433,5,0
5.8942126,5,0
6.0685856,5,0
6.240187,4.99511241446725,0
6.4128805,5,0
6.583222,5,0
6.7587164,5,0
6.9273139,5,0
7.0988139,5,0
7.2703803,5,0
7.4449996,4.99022482893451,0
7.6185195,5,0
7.8397225,5,0
8.0114003,5,0
8.1859755,5,0
8.3575963,5,0
8.5310925,5,0
8.6984656,4.99511241446725,0
8.8731965,5,0
9.0456488,5,0
9.2170418,5,0
9.390699,5,0
9.5652296,4.99511241446725,0
9.7378962,4.99511241446725,0
9.9093508,5,0
