time,voltage,pressed
0.1581291,4.99022482893451,0
0.4702714,4.99022482893451,0
0.6419657,4.99511241446725,0
0.8127828,5,0
1.0327072,4.99022482893451,0
1.205327,5,0
1.3753077,4.99511241446725,0
1.5471583,4.99511241446725,0
1.7676936,4.99022482893451,0
1.941068,4.99511241446725,0
2.1135049,5,0
2.2862127,4.99511241446725,0
2.4619533,4.99511241446725,0
2.6341124,4.98044965786901,0
2.8069173,4.99511241446725,0
2.9780851,4.99022482893451,0
3.1520841,4.99022482893451,0
3.3246882,5,0
3.5038752,4.99022482893451,0
3.696591,4.99022482893451,0
3.8990477,4.99511241446725,0
4.1015998,4.98533724340176,0
4.3443425,5,0
4.5268215,4.99022482893451,0
4.6991514,5,0
4.8699249,4.98533724340176,0
5.0435306,4.99022482893451,0
5.215946,4.98533724340176,0
5.3898473,4.99022482893451,0
5.5626625,5,0
5.7826392,5,0
5.9540548,4.98533724340176,0
6.1267379,4.99511241446725,0
6.3000944,5,0
6.4752721,4.98533724340176,0
6.6956136,4.99511241446725,0
6.8665999,4.98533724340176,0
7.0380436,4.99511241446725,0
7.2435398,4.98533724340176,0
7.4181396,4.99511241446725,0
7.5909281,5,0
7.7639824,4.99511241446725,0
7.9855107,4.99022482893451,0
8.1574824,4.99022482893451,0
8.3314939,4.99511241446725,0
8.5053698,4.99511241446725,0
8.8034099,4.99511241446725,0
8.9749497,4.99511241446725,0
9.1474047,4.98533724340176,0
9.3210479,5,0
9.4954524,4.98533724340176,0
9.6670138,4.99022482893451,0
9.8385617,5,0
